Manufacturer,Brand,Product Name,Model Number,Input Power Type,Fixture Maximum Ambient Temp,Width,Height,Diameter,Warranty,Length,Date Qualified,Reported Minimum Input Voltage,Reported Maximum Input Voltage,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Minimum Photosynthetic Photon Flux,Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Photon Flux (280-800nm),Reported Photon Efficacy (280-800nm),Tested Photosynthetic Photon Efficacy (400-700nm),Tested Photosynthetic Photon Flux (400-700nm),Tested Photon Flux Blue (400-500nm),Tested Photon Flux Green (500-600nm),Tested Photon Flux Red (600-700nm),Tested Photon Flux Far Red (700-800nm),Tested Photon Flux (280-800nm),Tested Photon Efficacy (280-800nm),Reported Input Wattage,Reported Default Input Wattage,Reported Minimum Input Wattage,Reported Power Factor,Reported Total Harmonic Distortion,Tested Input Wattage,Tested Voltage for Minimum Efficacy,Tested Power Factor,Tested Total Harmonic Distortion,Tested DC Input Current,Dimming and Control Method to the Product
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1800 DRW_LB 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.46,1800,180,1800,104,99,1597,,1800,3.46,,,,,,,,,520,520,49.2,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 800 DRW_LB 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.46,795,198.8,795.2,64,44,692,5,800,3.48,3.42,792,62,43,687,5,798,3.45,230,230,57.5,0.95,15,231.6,277,1,8.8,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 800 DRW_LB 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.46,795,198.8,795.2,64,44,692,5,800,3.48,3.42,792,62,43,687,5,798,3.45,230,230,57.5,0.95,15,231.6,277,1,8.8,,Power Line Commincation
Dutch Lighting Innovations,DLI,DLI ZENITH,DLI Zenith 870W 347-400V R90G5B5 DEEP WD,AC,25,8.27,5.12,,5,36.0 in,2024-06-25,347,400,No,TRUE,3.45,3049,0,3048.5,139,160,2752,15,,,,,,,,,,,882.9,882.9,0,0.988,10.1,,,,,,DALI
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra,ParFX Ultra R80:W5:B7:FR8,AC,35,11.65,3.66,,5,24.0 in,2023-12-20,277,400,No,TRUE,3.45,2605,0,2604.9,178,145,2284,244,,,3.45,2605,178,145,2284,244,,,754,754,0,0.993,8,754.2,277,0.994,8.2,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2225 DRW2_LB 277-400V 1.3D WB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,277,400,No,TRUE,3.45,2225,222.5,2225,111,200,1914,,2225,3.45,3.43,2212,104,189,1919,19,2235,3.47,645,645,59,0.98,15,644,277,0.99,9.1,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2225 DRW2_LB 277-400V 1.3D WB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,277,400,No,TRUE,3.45,2225,222.5,2225,111,200,1914,,2225,3.45,3.43,2212,104,189,1919,19,2235,3.47,645,645,59,0.98,15,644,277,0.99,9.1,,"Power Line Communication, No"
SINOWELL INC,FLEXSTAR,,FLEXSTAR LTL 270W,AC,40,2.36,2.83,,5,49.2 in,2024-04-17,277,347,No,TRUE,3.45,956,0,955.6,53,2,901,4,,,3.45,956,53,1,901,4,,,277,270,0,0.9,20,277.25,277,0.987,6.9,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2750 DRW_LB 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.44,2750,275,2750,151,151,2448,,2750,3.44,3.46,2719,141,146,2432,12,2732,3.47,800,800,80.3,0.98,15,786.4,400,0.98,12.9,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 3600 3.5 RW2LB 277-400V [CC2,WC2] SB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.43,3564,0,3600,178,321,3065,36,3600,3.46,3.48,3532,178,298,3056,34,3572,3.52,1040,1040,0,0.98,10,1013.8,277,1,9.3,,"Zigbee 3.0, Zigbee - Manufacturer Specific, Power Line Communication, No"
Dutch Lighting Innovations,DLI,DLI ZENITH,DLI Zenith 780W 347-400V R90G5B5 DEEP WD,AC,25,8.27,5.12,,5,33.6 in,2024-06-25,347,400,No,TRUE,3.43,2737,0,2736.8,132,135,2472,12,,,3.43,2737,132,135,2472,12,,,796.8,796.8,0,0.987,10.7,796.8,347,0.992,8.2,,DALI
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2400 DRB_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-10-10,277,400,No,TRUE,3.43,2400,240,2400,139,,2261,,2400,3.43,,,,,,,,,700,700,61,0.98,15,,,,,,"Power Line Communication, No"
P.L. Light Systems Canada Inc.,PARFX,,"PARFX BALENSBEAM R90:W5:B5 (230W,208-400V, DIGITAL)",AC,35,2.36,4.45,,5,48.0 in,2024-06-24,208,400,No,TRUE,3.43,776,0,775.7,32,31,714,5,,,3.43,776,32,30,714,5,,,226.3,226.3,0,0.924,16.5,226.3,208,0.924,15.3,,Digital dimming is based on RS485 standard
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra Plus,ParFX Ultra Plus R85:W5:B5:FR5,AC,35,13.98,4.13,,5,22.8 in,2023-12-20,277,400,No,TRUE,3.42,3570,0,3569.9,189,193,3191,247,,,,,,,,,,,1044,1044,0,0.996,8,,,,,,0-10V Other Protocol
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra,ParFX Ultra R85:W5:B5:FR5,AC,35,11.65,3.66,,5,24.0 in,2023-12-20,277,400,No,TRUE,3.42,2753,0,2752.8,138,146,2472,176,,,3.42,2753,138,145,2472,176,,,804,804,0,0.995,8,804.1,277,0.995,8.3,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2800 DRW_MB 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.41,2800,280,2800,308,154,2338,,2800,3.41,,,,,,,,,820,820,83,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2200 DRW_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.41,2200,220,2200,128,121,1951,,2200,3.41,,,,,,,,,645,645,58.1,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2200 DRW_LB 277-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.41,2200,220,2200,128,121,1951,,2200,3.41,,,,,,,,,645,645,59.2,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1775 DRW2_LB 200-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.41,1775,177.5,1775,89,160,1527,,1775,3.41,,,,,,,,,520,520,49.8,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1775 DRW_MB 200-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.41,1775,177.5,1775,195,98,1482,,1775,3.41,,,,,,,,,520,520,50.5,0.98,15,,,,,,"Power Line Communication, No"
SINOWELL INC,FLEXSTAR,horticultural LED light,Flexstar Nova 1200W HB,AC,40,12.5,3.2,,5,33.6 in,2023-09-14,208,277,No,TRUE,3.4,4080,0,4080,175,10,3870,25,,,,,,,,,,,1200,1200,0,20,,,,,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V), 0-10V Other Protocol, No"
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra Plus,ParFX Ultra Plus R78:W9:B5:FR8,AC,35,13.98,4.13,,5,22.8 in,2023-12-20,277,400,No,TRUE,3.4,3506,0,3506.4,191,348,2973,363,,,,,,,,,,,1032,1032,0,0.995,8,,,,,,0-10V Other Protocol
SINOWELL INC,FLEXSTAR,horticultural LED light,Flexstar Nova 800W HB,AC,40,12.5,3.2,,5,22.8 in,2023-09-14,208,277,No,TRUE,3.4,2720,0,2720,120,10,2570,20,,,,,,,,,,,800,800,0,20,,,,,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V), 0-10V Other Protocol, No"
Hawthorne Gardening Company,Agrolux,WEGA Plus 760,HGC906380,AC,35,10.63,4.72,,5,24.0 in,2023-05-31,220,400,,TRUE,3.4,2633,,,133,116,2385,10,,,3.42,2633,133,116,2385,10,,,770,770,2,0.953,11,769.7,220,0.953,11.5,,"0-10V ANSI C137.1 (9V), Power Line Communication (PLC) to 0-10V with internal controller"
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra,ParFX Ultra R78:W9:B5:FR8,AC,35,11.65,3.66,,5,24.0 in,2023-12-20,277,400,No,TRUE,3.4,2557,0,2556.8,125,241,2194,263,,,3.4,2557,125,241,2194,262,,,751,751,0,0.993,8,751.2,277,0.995,8.2,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1850 DRWFR_5 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.4,1767,185,1850,88,159,1519,83,1850,3.56,,,,,,,,,520,520,50.3,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3450 DRW_LB 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.38,3450,345,3450,190,190,3071,,3450,3.38,,,,,,,,,1020,1020,95.7,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3450 DRW_LB 277V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,277,277,No,TRUE,3.38,3450,345,3450,190,190,3071,,3450,3.38,,,,,,,,,1020,1020,90.3,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3450 DRW_LB 347V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,347,347,No,TRUE,3.38,3450,345,3450,190,190,3071,,3450,3.38,,,,,,,,,1020,1020,92.3,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2600 DRW_LB 277-400V 1.3D SB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,277,400,No,TRUE,3.38,2600,260,2600,151,143,2306,,2600,3.38,,,,,,,,,770,770,66,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2600 DRW_LB 277-400V 1.3D SB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,277,400,No,TRUE,3.38,2600,260,2600,151,143,2306,,2600,3.38,,,,,,,,,770,770,66,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2600 DRW_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.38,2600,260,2600,151,143,2306,,2600,3.38,,,,,,,,,770,770,67.5,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1750 DRW_MB 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.37,1750,175,1750,193,96,1461,,1750,3.37,,,,,,,,,520,520,48.9,0.98,15,,,,,,"Power Line Communication, No"
Acuity Brands Lighting,Verjure,Arize Life2,VAL2 L96 PUR SEFY,AC,40,1.5,2,,,94.8 in,2021-06-16,120,277,No,TRUE,3.37,214,,,21,0,192,0,214,3.37,3.37,213.375,21.171,0.308,191.869,0.355,,,64,64,7,0.934,8.8,63.37,,0.927,8.8,,0-10V Other Protocol
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP9-800-STD-JVG-RST1-S",AC,45,11.3,4.21,,,31.2 in,2023-05-12,277,480,No,TRUE,3.36,2712,,,179,161,2375,14,,,,,,,,,,,800,800,4.5,0.94,10,,,,,,0-10V Other Protocol
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP9-800-150-JVG-RST1-S",AC,45,11.3,4.21,,,31.2 in,2023-05-12,277,480,No,TRUE,3.36,2712,,,179,161,2375,14,,,3.36,2712,179,161,2375,14,,,800,800,4.5,0.94,10,807.8,277,0.94,9.6,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2420 DRW LB 277-400V 1.3D SB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,277,400,No,TRUE,3.36,2420,242,2420,140,133,2147,,2420,3.36,3.46,2449,134,138,2178,18,2471,3.5,720,720,62,0.98,15,707,277,0.99,8.2,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2420 DRW LB 277-400V 1.3D SB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,277,400,No,TRUE,3.36,2420,242,2420,140,133,2147,,2420,3.36,3.46,2449,134,138,2178,18,2471,3.5,720,720,62,0.98,15,707,277,0.99,8.2,,"Power Line Communication, No"
Fluence Bioengineering,FLUENCE,VYNE,VN-A-20-DR9-MVG-X,AC,45,2.6,3.5,,5,82.8 in,2022-04-29,200,400,No,,3.36,254,,,16,0,237,1,,,3.36,254.02,16.36,0.3,237.4,0.45,,,76,76,0,0.9,20,75.6,200,0.947,12.93,,
MechaTronix,MechaTronix,,COOLSTACK® MAX 5RB 174 FG AR,AC,30,6.69,6.33,,10,44.4 in,2023-08-28,400,480,No,TRUE,3.35,4064,0,4380,220,6,3840,30,,,3.35,4064,219,6,3840,30,,,1248,1248,0,0.97,9,1214,400,0.978,7.2,,Bluetooth - Manufacturer Specific
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3050 DRW2_LB 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.35,3050,305,3050,153,275,2623,,3050,3.35,,,,,,,,,910,910,89,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2750 DRW_MB 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.35,2750,275,2750,303,151,2296,,2750,3.35,3.32,2675,266,145,2264,13,2687,3.34,820,820,82.9,0.98,15,805.2,400,0.98,12.7,,"Power Line Communication, No"
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP9-1K-150-JVG-RST1-S",AC,45,11.3,4.21,,,39.6 in,2023-05-12,277,480,No,TRUE,3.34,3409,,,186,282,2946,33,,,3.34,3409,186,282,2946,33,,,1020,1020,4.5,0.955,9,1022,277,0.955,8.5,,0-10V Other Protocol
Acuity Brands Lighting,Verjure,Arize Element L1000,VAE1 PUR HEFY [ALL VOLTAGES] GZ10 XWD [All Options],AC,40,7,2.93,,5,28.8 in,2022-05-27,120,480,No,TRUE,3.34,1862,,,176,3,1684,3,1865,3.34,3.34,1862,176,3,1684,3,1865,3.34,558,558,0.5,0.963,8,558.19,277,0.963,8.3,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 800 DRW_MB 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.34,795,198.8,795.2,111,44,644,5,800,3.36,3.3,776,104,39,633,5,782,3.32,238,238,59.5,0.95,15,235.3,277,1,8.9,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 800 DRW_MB 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.34,795,198.8,795.2,111,44,644,5,800,3.36,3.3,776,104,39,633,5,782,3.32,238,238,59.5,0.95,15,235.3,277,1,8.9,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 3800 3.7 RWF6 277-400V [CC3,WC3] SB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.33,3458,0,3800,173,173,3112,342,3800,3.65,3.3,3438,167,174,3097,344,3787,3.64,1040,1040,0,0.98,10,1040.5,277,1,9.3,,"Zigbee 3.0, Zigbee - Manufacturer Specific, Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 3500 3.4 RW2LB 277-400V [CC2, WC2] QB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.33,3465,0,3500,173,312,2980,35,3500,3.37,3.41,3458,172,296,2991,35,3498,3.45,1040,1040,0,0.98,10,1014.4,277,1,9.2,,"Zigbee - Manufacturer Specific, Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3400 DRW_LB 347V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,347,347,No,TRUE,3.33,3400,340,3400,187,187,3026,,3400,3.33,,,,,,,,,1020,1020,92.5,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3400 DRW_LB 277V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,277,277,No,TRUE,3.33,3400,340,3400,187,187,3026,,3400,3.33,,,,,,,,,1020,1020,90.5,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3400 DRW_LB 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.33,3400,340,3400,187,187,3026,,3400,3.33,3.23,3303,171,175,2956,21,3324,3.25,1020,1020,95.8,0.98,15,1023.4,400,0.99,8,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2500 DRW2_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.33,2500,250,2500,125,225,2150,,2500,3.33,,,,,,,,,750,750,66.6,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Linear,GPL TLL 800 DRW_LB 277-400V 2.2D,AC,40,2,3,,5,600.0 in,2022-05-06,277,400,No,TRUE,3.33,847,,,67,47,732,5,,,3.33,847,67,47,732,5,,,255,250,25.4,0.983,10,254.67,277,0.983,9.8,,"Power Line Communication, No"
Hawthorne Gardening Company,Agrolux,WEGA Plus,HGC906440,AC,35,10.63,4.72,,5,24.0 in,2024-12-19,347,400,No,TRUE,3.31,2536,0,2536.3,132,141,2266,153,,,3.31,2536,132,141,2266,153,,,765,765.3,<2W,0.952,12,765.3,347,0.952,12,,"0-10V Other Protocol, Power Line Communication (PLC) to 0-10V with internal controller, NA"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3000 DRW2_LB 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.3,3000,300,3000,150,270,2580,,3000,3.3,3.25,2931,138,260,2534,20,2952,3.27,910,910,89,0.98,15,902.3,400,0.98,11.8,,"Power Line Communication, No"
HortiBest,HortiBest,JF-3600 Grow Light,JF-880PA DBF,AC,40,13.82,4.37,,5,33.6 in,2024-12-20,200,277,No,TRUE,3.3,2900,0,2900,370,437,2094,105,,,3.3,2900,370,437,2094,105,,,880,880,0,0.969,6.7,880.2,200,0.969,6.7,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP8-800-STD-JVG-RST1-S",AC,45,11.3,4.21,,,31.2 in,2023-03-28,277,480,No,TRUE,3.3,2600,,,203,333,2069,13,,,,,,,,,,,800,800,4.5,0.936,9,,,,,,0-10V Other Protocol
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP8-800-150-JVG-RST1-S",AC,45,11.3,4.21,,,31.2 in,2023-03-28,277,480,No,TRUE,3.3,2600,,,203,333,2069,13,,,3.3,2600,203,333,2069,13,,,800,800,4.5,0.936,9,786.7,277,0.936,9.5,,0-10V Other Protocol
HLG,Horticulture Lighting Group,HLG Greenhouse Pro HE HV,HLG Greenhouse Pro HE HV,AC,40,6.75,4.75,,5,58.8 in,2023-03-20,240,277,,TRUE,3.3,2317,,,322,310,1690,11,,,3.3,2317,322,310,1689,11,,,702,701.5,0,0.99,7,701.5,240,0.993,,,0-10V Other Protocol
SINOWELL INC,FLEXSTAR,horticultural LED light,Flexstar Nova 520W HB,AC,40,9.32,3.2,,5,24.0 in,2023-09-14,220,347,No,TRUE,3.3,1716,0,1716,105,2,1600,9,,,3.39,1762,103,2,1657,11,,,520,520,0,20,,520.11,220,0.986,7.9,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V), 0-10V Other Protocol, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Interlighting,GPL IL 300 DRB L250 200-400V G3.1 S,AC,40,3,3,,5,98.4 in,2023-03-10,200,400,No,,3.3,300,,,15,,285,,300,3.3,,,,,,,,,92,95,95,0.9,10,,,,,,
Dutch Lighting Innovations,DLI VERTEX,DLI VERTEX,EPLI Vertex 780W 347-400V R85G5B5FR5 MEDIUM WD,AC,25,10.24,5.12,,5,32.4 in,2024-07-23,347,400,No,TRUE,3.29,2617,0,2616.7,139,144,2335,160,,,3.29,2617,139,144,2335,160,,,795.5,795.5,0,0.963,5,795.5,347,0.963,5,,Digital Dim based on RS485
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2125 DRW_MB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.29,2125,212.5,2125,234,117,1774,,2125,3.29,,,,,,,,,645,645,58.1,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2125 DRW2_LB 277-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.29,2125,212.5,2125,106,191,1828,,2125,3.29,,,,,,,,,645,645,57.4,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2125 DRW_MB 277-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.29,2125,212.5,2125,234,117,1774,,2125,3.29,,,,,,,,,645,645,59.2,0.98,15,,,,,,"Power Line Communication, No"
"Agnetix, Inc.",ZENITH,ZENITH Greenhouse,"A3-1200-GHZ4-3[A,G,F][00,50,80,ML]",AC,60,3.7,5.2,,5,48.0 in,2022-08-01,277,277,No,TRUE,3.28,3828,,,154,245,3433,22,,,3.28,3828,154,245,3433,22,,,1200,1168,8,0.97,7,1167.7,277,0.97,7.8,,"Power Over Ethernet, Ethernet TCP/IP, Ethernet Proprietary, Bacnet, Rest API"
All purpose LED Grow Lights international ltd,AELIUS LED,Matrx REDD F34,MR34F,AC,35,41.38,3.07,,5,43.2 in,2024-02-21,220,277,No,TRUE,3.28,2373,0,2373,438,659,1276,138,,,,,,,,,,,724,724,0,0.98,12,,,,,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2550 DRW_MB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.27,2550,255,2550,281,140,2129,,2550,3.27,,,,,,,,,780,780,68.5,0.98,15,,,,,,"Power Line Communication, No"
Hawthorne Gardening Company,Agrolux,WEGA Plus,HGC906501,AC,35,10.63,4.72,,5,24.0 in,2024-12-19,347,400,No,TRUE,3.27,2470,0,2470.4,128,141,2204,150,,,3.27,2470,128,141,2204,150,,,756,755.6,<2W,0.953,11,755.6,347,0.953,11.1,,"0-10V Other Protocol, Power Line Communication (PLC) to 0-10V with internal controller, NA"
HortiBest,HortiBest,OG8-3900 Grow Light,OG-950PA FIX,AC,45,48.03,2.76,,5,48.0 in,2024-12-20,120,277,No,TRUE,3.26,3101,0,3101,444,712,1946,171,,,3.26,3101,444,712,1946,171,,,950,950,0,0.97,6.3,950.3,120,0.97,6.3,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2350 DRW_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-10-10,277,400,No,TRUE,3.26,2350,235,2350,136,129,2085,,2350,3.26,,,,,,,,,720,720,62,0.98,15,,,,,,"Power Line Communication, No"
Acuity Brands Lighting,Verjure,Arize Element L1000,VAE1 PKT HEFY [ALL VOLTAGES]GZ10 XWD [All Options],AC,40,7,2.93,,5,28.8 in,2021-11-09,120,480,No,TRUE,3.26,1847,,,106,105,1636,5,1852,3.26,3.26,1847,106,105,1636,5,1852,3.27,567,567,0.5,0.964,8.4,566.6,277,0.964,8.4,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Gridlighting,GPL GL 900 DRWMB 277-480V 1.1D NA,AC,35,44.4,2.85,,5,44.4 in,2024-03-15,277,480,No,TRUE,3.26,896,107.8,900,108,40,749,3,900,3.27,3.2,907,111,42,754,3,910,3.22,275,275,33.3,0.95,15,283,277,1,9,,"0-10V ANSI C137.1 (9V), No"
Acuity Brands Lighting,Verjure,Arize Life2,VAL2 L48 PUR SEFY,AC,40,1.5,2,,5,46.8 in,2021-07-27,120,277,No,TRUE,3.26,103,,,10,0,93,0,103,3.27,3.2,101.013,10.03,0.152,90.822,0.148,101.183,3.21,32,32,3.5,0.933,9,31.57,120,0.929,9.2,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3250 DRW_MB 347V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,347,347,No,TRUE,3.25,3250,325,3250,358,179,2714,,3250,3.25,,,,,,,,,1000,1000,90.5,0.98,15,,,,,,"Power Line Communication, No"
